SourceFile,SourceCreated,SourceModified,SourceAccessed,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,NetworkPath,CommonPath,Arguments,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,MACVendor,TrackerCreatedOn,ExtraBlocksPresent
C:\484\LNK\DemLogic.lnk,2021-10-06 00:54:36,2018-03-31 04:19:36,2021-10-06 00:56:41,,,,0,..\..\..\..\..\Desktop\DemLogic.jpg,C:\Users\jcloudy\Desktop,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\DemLogic.jpg,,,,My Computer\Desktop\DemLogic.jpg,0x0,,,,,,
C:\484\LNK\Desktop.lnk,2021-10-06 00:54:36,2018-04-05 02:24:20,2021-10-06 00:56:41,2018-03-27 09:18:58,2018-04-05 02:20:17,2018-04-05 02:20:17,8192,..\..\..\..\..\Desktop,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, HasRelativePath, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop,,,,My Computer\Desktop,,,desktop-pm6c56d,ec:f4:bb:48:7f:ed,DELL,2018-03-27 12:13:12,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\484\LNK\Downloads.lnk,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 00:56:41,2018-03-27 09:18:58,2018-04-06 08:30:22,2018-04-06 08:30:22,65536,..\..\..\..\..\Downloads,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, HasRelativePath, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Downloads,,,,My Computer\Downloads,,,desktop-pm6c56d,ec:f4:bb:48:7f:ed,DELL,2018-03-27 12:13:12,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\484\LNK\Getting started with OneDrive.lnk,2021-10-06 00:54:36,2018-03-27 09:51:12,2021-10-06 00:56:41,2018-03-27 09:50:14,2018-03-03 08:03:14,2018-03-27 09:50:15,398083,..\..\..\..\..\OneDrive\Getting started with OneDrive.pdf,C:\Users\jcloudy\OneDrive,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\OneDrive\Getting started with OneDrive.pdf,,,,OneDrive\Getting started with OneDrive.pdf,0x16E37,0x2,desktop-pm6c56d,ec:f4:bb:48:7f:ed,DELL,2018-03-27 12:13:12,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\484\LNK\Hardware and Sound.lnk,2021-10-06 00:54:36,2018-04-06 08:31:50,2021-10-06 00:56:41,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,Control Panel\Hardware and Sound,,,,,,,
C:\484\LNK\HoldMyTidePod.jpg_large.lnk,2021-10-06 00:54:36,2018-03-30 03:29:20,2021-10-06 00:56:41,,,,0,..\..\..\..\..\Desktop\HoldMyTidePod.jpg_large,C:\Users\jcloudy\Desktop,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\HoldMyTidePod.jpg_large,,,,My Computer\Desktop\HoldMyTidePod.jpg_large,0x0,,,,,,
C:\484\LNK\HoldMyTidePod.lnk,2021-10-06 00:54:36,2018-04-02 01:12:42,2021-10-06 00:56:41,2018-03-30 03:29:20,2018-03-30 03:29:20,2018-03-30 03:29:02,43525,..\..\..\..\..\Desktop\HoldMyTidePod.jpg,C:\Users\jcloudy\Desktop,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\HoldMyTidePod.jpg,,,,My Computer\Desktop\HoldMyTidePod.jpg,0x22CF1,0x7,desktop-pm6c56d,28:e3:47:01:77:77,LITEON,2018-03-30 05:03:09,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\484\LNK\Huckleberry.lnk,2021-10-06 00:54:36,2018-03-31 04:23:26,2021-10-06 00:56:41,,,,0,..\..\..\..\..\Desktop\Huckleberry.png,C:\Users\jcloudy\Desktop,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\Huckleberry.png,,,,My Computer\Desktop\Huckleberry.png,0x0,,,,,,
C:\484\LNK\key.lnk,2021-10-06 00:54:36,2018-03-27 09:23:14,2021-10-06 00:56:41,2018-03-22 03:05:22,2018-03-22 03:05:24,2018-03-22 03:05:24,183,,D:\,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking","Removable storage media (Floppy, USB)",4C36F4AC,CloudLog,D:\key.txt,,,,D:\\key.txt,0x318200,,,,,,
C:\484\LNK\Larry King_ Time to Repeal the 'Poorly Written' Second Amendment.lnk,2021-10-06 00:54:36,2018-03-30 04:29:48,2021-10-06 00:56:41,,,,0,..\..\..\..\..\Desktop\Larry King_ Time to Repeal the 'Poorly Written' Second Amendment.html,C:\Users\jcloudy\Desktop,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\Larry King_ Time to Repeal the 'Poorly Written' Second Amendment.html,,,,My Computer\Desktop\Larry King_ Time to Repeal the 'Poorly Written' Second Amendment.html,0x0,,,,,,
C:\484\LNK\LeftUsesBoycotts.lnk,2021-10-06 00:54:36,2018-04-06 03:56:32,2021-10-06 00:56:42,,,,0,..\..\..\..\..\Desktop\LeftUsesBoycotts.pdf,C:\Users\jcloudy\Desktop,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\LeftUsesBoycotts.pdf,,,,My Computer\Desktop\LeftUsesBoycotts.pdf,0x0,,,,,,
C:\484\LNK\ms-settingsdefaultapps.lnk,2021-10-06 00:54:36,2018-03-27 23:39:14,2021-10-06 00:56:42,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,Internet Explorer (Homepage)\ms-settings:defaultapps,,,,,,,
C:\484\LNK\ms-settingswindowsupdate.lnk,2021-10-06 00:54:36,2018-03-27 09:27:12,2021-10-06 00:56:42,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,Internet Explorer (Homepage)\ms-settings:windowsupdate,,,,,,,
C:\484\LNK\ms-windows-storepdpProductId=9WZDNCRFJ1P3&ocid=QF.lnk,2021-10-06 00:54:36,2018-03-27 09:52:02,2021-10-06 00:56:42,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,Internet Explorer (Homepage)\ms-windows-store:pdp?ProductId=9WZDNCRFJ1P3&ocid=QF,,,,,,,
C:\484\LNK\MyTiredHead.lnk,2021-10-06 00:54:36,2018-03-30 03:31:10,2021-10-06 00:56:42,,,,0,..\..\..\..\..\Desktop\MyTiredHead.jpg,C:\Users\jcloudy\Desktop,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\MyTiredHead.jpg,,,,My Computer\Desktop\MyTiredHead.jpg,0x0,,,,,,
C:\484\LNK\OneDrive.lnk,2021-10-06 00:54:36,2018-04-05 02:01:58,2021-10-06 00:56:42,2018-03-27 09:21:44,2018-04-04 05:59:44,2018-04-04 05:59:44,4096,..\..\..\..\..\OneDrive,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, HasRelativePath, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\OneDrive,,,,OneDrive,,,desktop-pm6c56d,ec:f4:bb:48:7f:ed,DELL,2018-03-27 12:13:12,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\484\LNK\Operation 2nd Hand Smoke.lnk,2021-10-06 00:54:36,2018-04-04 05:31:24,2021-10-06 00:56:42,2018-04-04 04:56:19,2018-04-04 05:11:27,2018-04-04 05:11:27,4408968,..\..\..\..\..\Desktop\Operation 2nd Hand Smoke.pptx,C:\Users\jcloudy\Desktop,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\Operation 2nd Hand Smoke.pptx,,,,My Computer\Desktop\Operation 2nd Hand Smoke.pptx,0x2356D,0xE,desktop-pm6c56d,28:e3:47:01:77:77,LITEON,2018-03-30 05:03:09,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\484\LNK\Planning.lnk,2021-10-06 00:54:36,2018-04-05 08:32:48,2021-10-06 00:56:42,2018-03-30 02:16:48,2018-04-04 05:30:41,2018-04-04 05:30:41,14060,..\..\..\..\..\Desktop\Planning.docx,C:\Users\jcloudy\Desktop,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\Planning.docx,,,,My Computer\Desktop\Planning.docx,0x21336,0x6,desktop-pm6c56d,28:e3:47:01:77:77,LITEON,2018-03-27 21:45:39,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\484\LNK\Power Options.lnk,2021-10-06 00:54:36,2018-04-06 08:31:50,2021-10-06 00:56:42,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,Control Panel\Hardware and Sound\Power Options,,,,,,,
C:\484\LNK\RedGuns.lnk,2021-10-06 00:54:36,2018-03-31 04:17:00,2021-10-06 00:56:42,,,,0,..\..\..\..\..\Desktop\RedGuns.jpg,C:\Users\jcloudy\Desktop,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\RedGuns.jpg,,,,My Computer\Desktop\RedGuns.jpg,0x0,,,,,,
C:\484\LNK\rootkey.lnk,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 00:56:42,2018-03-27 23:59:20,2018-03-27 23:59:20,2018-03-27 23:59:20,90,..\..\..\..\..\Downloads\rootkey.csv,C:\Users\jcloudy\Downloads,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Downloads\rootkey.csv,,,,My Computer\Downloads\rootkey.csv,0x22044,0x11,desktop-pm6c56d,28:e3:47:01:77:77,LITEON,2018-04-06 07:50:45,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\484\LNK\SelfDefenseisMurder.lnk,2021-10-06 00:54:36,2018-04-05 05:48:40,2021-10-06 00:56:42,,,,0,..\..\..\..\..\Desktop\SelfDefenseisMurder.pdf,C:\Users\jcloudy\Desktop,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\SelfDefenseisMurder.pdf,,,,My Computer\Desktop\SelfDefenseisMurder.pdf,0x0,,,,,,
C:\484\LNK\Sheep.lnk,2021-10-06 00:54:36,2018-04-02 01:12:52,2021-10-06 00:56:42,2018-03-30 03:32:40,2018-03-30 03:32:40,2018-03-30 03:32:34,11073,..\..\..\..\..\Desktop\Sheep.jpg,C:\Users\jcloudy\Desktop,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\Sheep.jpg,,,,My Computer\Desktop\Sheep.jpg,0x22D31,0xB,desktop-pm6c56d,28:e3:47:01:77:77,LITEON,2018-03-30 05:03:09,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\484\LNK\System and Security.lnk,2021-10-06 00:54:36,2018-03-27 09:32:20,2021-10-06 00:56:42,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,Control Panel\System and Security,,,,,,,
C:\484\LNK\System.lnk,2021-10-06 00:54:36,2018-03-27 09:32:20,2021-10-06 00:56:42,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,Control Panel\System and Security\System,,,,,,,
C:\484\LNK\The Cloudy Manifesto.lnk,2021-10-06 00:54:36,2018-04-03 06:11:22,2021-10-06 00:56:42,2018-04-02 01:35:27,2018-04-02 01:35:27,2018-04-02 01:35:27,816313,..\..\..\..\..\Desktop\The Cloudy Manifesto.docx,C:\Users\jcloudy\Desktop,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\The Cloudy Manifesto.docx,,,,My Computer\Desktop\The Cloudy Manifesto.docx,0x21337,0x4,desktop-pm6c56d,28:e3:47:01:77:77,LITEON,2018-03-30 05:03:09,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\484\LNK\The Internet.lnk,2021-10-06 00:54:36,2018-03-27 23:39:14,2021-10-06 00:56:42,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,Internet Explorer (Homepage),,,,,,,
C:\484\LNK\UKknifeBan.lnk,2021-10-06 00:54:36,2018-04-05 05:51:42,2021-10-06 00:56:43,,,,0,..\..\..\..\..\Desktop\UKknifeBan.pdf,C:\Users\jcloudy\Desktop,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\UKknifeBan.pdf,,,,My Computer\Desktop\UKknifeBan.pdf,0x0,,,,,,
